,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"beta_language_std[5,6]",-0.275021,0.000291348,0.0389266,0.0396299,-0.339823,-0.274477,-0.211992,18099.4,5743.25,1.00057
"beta_language_std[5,7]",0.0981435,0.000251232,0.0281861,0.0280646,0.0518383,0.0983957,0.143861,12834.1,4843.84,1.00005
"beta_language_std[5,8]",0.0806376,0.000251725,0.028851,0.0294104,0.0343594,0.0805065,0.128565,13678.3,5688.06,1.00016
"beta_language_std[5,9]",-0.10223,0.000225894,0.0284071,0.0282479,-0.148789,-0.102747,-0.0551855,15967.9,5741.07,1.00006
"beta_language_std[5,10]",-0.452203,0.000230206,0.0270998,0.0274748,-0.497072,-0.452276,-0.40798,14403.4,5315.76,0.999915
"beta_language_std[5,11]",-0.0404772,0.0002184,0.0228667,0.0230144,-0.0779403,-0.0406818,-0.00252311,11114.7,6000.2,1.00123
"beta_language_std[5,12]",-0.131367,0.00151041,0.062927,0.0527543,-0.228241,-0.133805,-0.0256329,1913.23,1475.99,1.00662
"beta_language_std[6,1]",0.0686244,0.000216865,0.0264941,0.0266044,0.0251263,0.0688097,0.112261,15263.5,5468.85,1.00024
"beta_language_std[6,2]",-0.0120191,0.000239657,0.0269134,0.0270276,-0.0563523,-0.0121147,0.0328498,12926.0,5366.67,1.00124
"beta_language_std[6,3]",0.335026,0.000225434,0.0289395,0.0284444,0.287453,0.335151,0.382966,16350.7,5843.32,1.00041
"beta_language_std[6,4]",-0.0355579,0.000247597,0.0273161,0.0272921,-0.0803212,-0.0355183,0.00923436,12598.9,5719.36,1.00089
"beta_language_std[6,5]",0.057338,0.000215908,0.0270095,0.0272692,0.0127503,0.0574672,0.101758,15911.3,6052.02,1.0016
"beta_language_std[6,6]",-0.192896,0.000308078,0.0389862,0.0387285,-0.258605,-0.192818,-0.127901,16192.1,5559.67,1.00016
"beta_language_std[6,7]",0.0294473,0.000219462,0.0268081,0.0268839,-0.0143001,0.0291167,0.0730182,15275.8,5545.89,1.00053
"beta_language_std[6,8]",0.0441776,0.00022662,0.0274062,0.027213,-0.000697761,0.0442558,0.0889477,14853.3,5524.7,1.0021
